,player,season_1,had_major_injury_90,season_x,last_season,season_y,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,_merge,Unnamed: 0_y,short_name,long_name,player_positions,height_cm,weight_kg,work_rate,body_type,pace,shooting,passing,dribbling,defending,physic,movement_acceleration,movement_sprint_speed,movement_reactions,movement_balance,power_stamina,power_strength,season_2,matched_short_name
1841,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,69270.0,Y. Mina,Yerry Fernando Mina González,CB,195.0,94.0,Medium/High,Normal (185+),54.0,54.0,56.0,57.0,78.0,83.0,45.0,62.0,72.0,34.0,79.0,87.0,23/24,Fernando
1842,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,74863.0,Calero,Fernando Calero Villa,CB,183.0,75.0,Medium/Medium,Lean (170-185),65.0,27.0,47.0,47.0,69.0,64.0,67.0,64.0,63.0,47.0,60.0,67.0,23/24,Fernando
1843,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,93849.0,Nando,Fernando García Puchades,"RM, LM, ST",178.0,68.0,Medium/High,Normal (170-185),75.0,64.0,64.0,70.0,39.0,52.0,74.0,76.0,61.0,71.0,58.0,47.0,23/24,Fernando
1844,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,100532.0,Fer Niño,Fernando Niño Rodríguez,ST,190.0,75.0,Medium/Medium,Lean (185+),61.0,60.0,52.0,59.0,24.0,63.0,60.0,62.0,51.0,44.0,58.0,70.0,23/24,Fernando
1845,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,109463.0,F. Forestieri,Fernando Martín Forestieri,"ST, CAM, LW",172.0,67.0,High/Medium,Normal (170-185),76.0,72.0,67.0,75.0,47.0,65.0,81.0,71.0,66.0,88.0,59.0,62.0,23/24,Fernando
1846,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,126068.0,Meirelinson,Fernando Elton Meireles Petri,CB,182.0,79.0,Medium/Medium,Normal (170-185),71.0,45.0,66.0,72.0,75.0,70.0,70.0,71.0,74.0,69.0,69.0,72.0,23/24,Fernando
1847,Fernando,23/24,False,23/24,22/23,22/23,BRA,"MF,DF",35.0,1987.0,22.0,19.0,1577,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,both,154820.0,Medrano,Fernando Medrano Gastañaga,LB,172.0,63.0,Medium/Medium,Lean (170-185),68.0,38.0,55.0,60.0,58.0,46.0,67.0,68.0,57.0,83.0,63.0,37.0,23/24,Fernando
1848,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,239.0,Fernando,Fernando Francisco Reges,"CDM, CB",183.0,76.0,Medium/Medium,Lean (170-185),63.0,62.0,74.0,73.0,82.0,81.0,60.0,66.0,82.0,62.0,80.0,81.0,24/25,Fernando
1849,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,937.0,Y. Mina,Yerry Fernando Mina González,CB,195.0,94.0,Medium/Medium,Normal (185+),37.0,54.0,58.0,57.0,77.0,73.0,33.0,40.0,71.0,31.0,34.0,89.0,24/25,Fernando
1850,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,2231.0,Meirelinson,Fernando Elton Meireles Petri,CB,182.0,79.0,Medium/Medium,Normal (170-185),71.0,45.0,66.0,72.0,75.0,71.0,70.0,71.0,74.0,69.0,69.0,72.0,24/25,Fernando
1851,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,29365.0,Medrano,Fernando Medrano Gastañaga,LB,172.0,63.0,Medium/Medium,Lean (170-185),68.0,38.0,55.0,60.0,58.0,46.0,67.0,68.0,57.0,83.0,63.0,37.0,24/25,Fernando
1852,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,37048.0,Fernandinho,Fernando Luiz Rosa,"CDM, CB",179.0,67.0,Medium/High,Lean (170-185),59.0,72.0,75.0,78.0,84.0,75.0,67.0,52.0,86.0,77.0,66.0,75.0,24/25,Fernando
1853,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,38753.0,Marçal,Fernando Marçal de Oliveira,"LB, LWB",178.0,72.0,Medium/High,Normal (170-185),71.0,56.0,71.0,72.0,75.0,71.0,69.0,72.0,74.0,69.0,60.0,71.0,24/25,Fernando
1854,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,39339.0,Fer Niño,Fernando Niño Rodríguez,ST,190.0,78.0,Medium/Medium,Lean (185+),67.0,74.0,59.0,68.0,35.0,69.0,68.0,67.0,74.0,61.0,70.0,74.0,24/25,Fernando
1855,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,40338.0,F. Forestieri,Fernando Martín Forestieri,"CAM, CF, LW",172.0,67.0,High/Medium,Normal (170-185),75.0,71.0,69.0,75.0,48.0,64.0,79.0,71.0,66.0,85.0,59.0,62.0,24/25,Fernando
1856,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,52018.0,Hélton Carvalhal,Hélton Fernando Carvalhal Lima,ST,187.0,82.0,Medium/Low,Normal (185+),36.0,68.0,36.0,47.0,30.0,61.0,38.0,34.0,64.0,50.0,40.0,80.0,24/25,Fernando
1857,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,57897.0,Llorente,Fernando Javier Llorente Torres,ST,193.0,92.0,Medium/Medium,Normal (185+),31.0,76.0,61.0,66.0,33.0,68.0,29.0,32.0,80.0,30.0,34.0,86.0,24/25,Fernando
1858,Fernando,24/25,False,24/25,23/24,23/24,ESP,GK,33.0,1990.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,82094.0,Nando,Fernando García Puchades,"RM, LM, ST",178.0,68.0,Medium/High,Normal (170-185),75.0,64.0,64.0,70.0,39.0,52.0,74.0,76.0,61.0,71.0,58.0,47.0,24/25,Fernando
